Timestamp,Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)"
2021/10/08 4:23:05 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Size,Very likely,Wheels;Grilles;Headlights;Bumpers,Steering wheel;Door handles;Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/08 6:20:17 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features,Very likely,Wheels;Grilles;Headlights;Bumpers,Centre compartment;Dashboard,0,No,0,"No, I would need a designer to model my sketch"
2021/10/08 7:28:49 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Likely,Wheels,Centre compartment,0,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/08 8:04:44 PM GMT+8,20-30,Female,Own a car,Single,Price;Brand name;Aesthetics;Technological features,Very likely,Grilles,Steering wheel;Centre compartment,over 1000,Yes,over 1000,"Yes, I can design on my own"
2021/10/08 8:13:31 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/08 8:50:59 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality,Likely,Side mirrors,Steering wheel;Centre compartment,0,No,0,"No, I would need a designer to model my sketch"
2021/10/08 9:13:10 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Sustainability/environment considerations,Very likely,Wheels;Headlights;Side mirrors;Bumpers,Centre compartment;Door handles;Dashboard,under 500,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/08 9:30:08 PM GMT+8,31-40,Male,Own more than one car,Married with children,Price,Not likely,Bumpers,Dashboard,0,No,over 1000,"Yes, I can design on my own"
2021/10/08 9:32:33 PM GMT+8,51-60,Male,Own a car,Married with children,Price;Brand name;Technological features;Functionality;Size;Sustainability/environment considerations,Very likely,Grilles;Bumpers,Steering wheel;Centre compartment;Dashboard,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/08 9:50:45 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Grilles;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,0,Only with professional help,0,"No, I would need a designer to model my sketch"
